osm_id,code,fclass,name,x,y
"1158876124",2101,pharmacy,,8358922.972,4685527.296
"1158876126",2101,pharmacy,,8358599.545,4685232.927
"1158876187",2101,pharmacy,,8359139.932,4685462.648
"1158876336",2101,pharmacy,,8358684.548,4685442.603
"1158876516",2101,pharmacy,,8358834.685,4685520.637
"1158876642",2101,pharmacy,პსპ (PSP),8358769.910,4685540.011
"1158876691",2101,pharmacy,ვეტაფთიაქი (Veterinary),8358874.852,4685513.339
"1158876698",2101,pharmacy,ავერსი (Aversi),8358996.013,4685496.344
"1158876732",2101,pharmacy,ვეტაფთიაქი (Veterinary),8358824.704,4685542.453
"1158876880",2101,pharmacy,,8358956.301,4685480.307
"4836274321",2101,pharmacy,,8358645.989,4685464.195
